Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@15@15@17@17
Avg. Estimate@34.44B@34.47B@139.29B@143.49B
Low Estimate@32.19B@32.57B@134.92B@140.3B
High Estimate@35.97B@35.36B@141.49B@149.17B
Year Ago Sales@34.59B@33.95B@136.87B@139.29B
