Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.41@0.79@3.31@4.05
7 Days Ago@0.4@0.79@3.29@4.03
30 Days Ago@0.72@0.98@4.07@4.64
60 Days Ago@0.76@1.02@4.25@4.72
90 Days Ago@0.85@1.12@4.6@5.13
