Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@21@24@23
Avg. Estimate@1.15B@1.25B@5.14B@5.38B
Low Estimate@1.09B@1.12B@4.66B@4.9B
High Estimate@1.19B@1.39B@5.46B@5.85B
Year Ago Sales@1.24B@1.37B@5.41B@5.14B
