Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@23@23@26@25
Avg. Estimate@0.41@0.79@3.31@4.05
Low Estimate@0.36@0.55@2.4@3.03
High Estimate@0.46@1.04@3.94@4.63
Year Ago EPS@0.65@1.09@4.05@3.31
