Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@29@29@30@28
Avg. Estimate@0.7@1.07@4.99@5.65
Low Estimate@0.18@0.91@4.4@4.99
High Estimate@0.91@1.24@5.52@6.81
Year Ago EPS@0.25@0.97@4.81@4.99
