Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@26@26@30@27
Avg. Estimate@1.01B@1.39B@5.54B@5.96B
Low Estimate@982M@1.29B@4.96B@5.55B
High Estimate@1.06B@1.45B@5.66B@6.35B
Year Ago Sales@718.94M@1.28B@5.21B@5.54B
