Firm@To Grade@From Grade@Action
Citigroup@Buy@@main
JP Morgan@Neutral@@main
JP Morgan@Neutral@@main
Citigroup@Neutral@Buy@down
Stifel Nicolaus@Buy@@main
First Analysis@Equal-Weight@Overweight@down
Citigroup@Neutral@@main
Topeka@Buy@@main
Credit Suisse@Neutral@Outperform@down
Citigroup@Neutral@@main
Citigroup@Sell@Neutral@down
Cowen & Co.@Market Perform@@down
Wells Fargo@Market Perform@Outperform@down
Citigroup@Neutral@@main
JP Morgan@Underweight@Neutral@down
Credit Suisse@Underperform@Neutral@down
Citigroup@Neutral@@main
Cowen & Co.@Hold@@main
Citigroup@Sell@Neutral@down
JP Morgan@Underweight@@main
Citigroup@Neutral@Sell@up
Citigroup@Neutral@@main
Citigroup@Neutral@Neutral@main
B. Riley FBR@Buy@Neutral@up
JP Morgan@Underweight@Underweight@main
JP Morgan@Neutral@Underweight@up
Baird@Outperform@Neutral@up
Citigroup@Neutral@Neutral@main
JP Morgan@Neutral@Neutral@main
Baird@Outperform@Outperform@main
Citigroup@Neutral@Neutral@main
Baird@Outperform@@main
Baird@Outperform@@main
Citigroup@Neutral@@main
CFRA@Hold@@main
