Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@2@2@1@2
Avg. Estimate@1.32@1.33@5.58@6.02
Low Estimate@1.29@1.32@5.58@5.78
High Estimate@1.35@1.35@5.58@6.26
Year Ago EPS@1.33@1.36@5.31@5.58
