Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.32@1.33@5.58@6.02
7 Days Ago@1.32@1.33@5.58@6.02
30 Days Ago@1.32@1.33@5.58@6.02
60 Days Ago@1.27@1.31@5.2@6.05
90 Days Ago@1.34@1.38@5.42@6.26
