Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@2@2@3@3
Avg. Estimate@312.65M@314.88M@1.26B@1.34B
Low Estimate@311M@314M@1.26B@1.3B
High Estimate@314.3M@315.76M@1.26B@1.4B
Year Ago Sales@N/A@308.42M@1.23B@1.26B
