OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
BERKSHIRE HATHAWAY INC@03/31/2020@12,815,613@-137,132@-1.059%@$2,748,308
VANGUARD GROUP INC@03/31/2020@11,985,556@268,897@2.295%@$2,570,302
BLACKROCK INC.@03/31/2020@9,069,076@-79,997@-0.874%@$1,944,863
RENAISSANCE TECHNOLOGIES LLC@03/31/2020@8,105,290@-165,400@-2%@$1,738,179
STATE STREET CORP@03/31/2020@4,380,003@-44,497@-1.006%@$939,292
