OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@9,616,490@208,553@2.217%@$2,795,994
BLACKROCK INC.@03/31/2020@7,498,456@387,554@5.45%@$2,180,176
ARISTOTLE CAPITAL MANAGEMENT, LLC@03/31/2020@3,863,237@41,922@1.097%@$1,123,236
FMR LLC@03/31/2020@3,794,461@-252,163@-6.231%@$1,103,240
STATE STREET CORP@03/31/2020@3,615,114@7,276@0.202%@$1,051,094
