Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@13@13@14@15
Avg. Estimate@1.16@1.41@5.96@6.89
Low Estimate@1.08@1.27@5.82@6.18
High Estimate@1.26@1.53@6.16@7.35
Year Ago EPS@1.61@1.42@6.58@5.96
