Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@11@11@13@13
Avg. Estimate@354.4M@376.4M@1.59B@1.76B
Low Estimate@340.17M@362.6M@1.54B@1.68B
High Estimate@365.3M@388.7M@1.61B@1.87B
Year Ago Sales@N/A@345.5M@1.53B@1.59B
