Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@38@36@41@40
Avg. Estimate@1.81@1.99@6.44@8.55
Low Estimate@1.59@1.46@5.7@7.13
High Estimate@2.07@2.43@7.67@10.65
Year Ago EPS@0.6@1.47@4.13@6.44
