Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@34@32@39@37
Avg. Estimate@6.07B@6.37B@24.77B@29.24B
Low Estimate@5.98B@5.93B@23.83B@27.12B
High Estimate@6.15B@6.66B@25.31B@32.82B
Year Ago Sales@4.92B@5.24B@20.16B@24.77B
