Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.81@1.99@6.44@8.55
7 Days Ago@1.81@1.99@6.44@8.55
30 Days Ago@1.81@1.98@6.46@8.59
60 Days Ago@1.53@1.86@5.99@8.36
90 Days Ago@1.53@1.85@5.99@8.41
