Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@13@13@14@14
Avg. Estimate@894.12M@1.04B@3.63B@3.93B
Low Estimate@888M@991M@3.6B@3.79B
High Estimate@905.7M@1.1B@3.7B@4.05B
Year Ago Sales@N/A@851.08M@3.36B@3.63B
