Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@13@13@14@14
Avg. Estimate@1.34@1.69@5.27@6.02
Low Estimate@1.31@1.64@5.24@5.72
High Estimate@1.38@1.78@5.38@6.34
Year Ago EPS@1.18@1.15@4.56@5.27
