OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@17,959,046@582,289@3.351%@$3,355,109
PRICE T ROWE ASSOCIATES INC /MD/@03/31/2020@12,757,884@4,550,966@55.453%@$2,383,428
BLACKROCK INC.@03/31/2020@12,161,272@-167,652@-1.36%@$2,271,969
STATE STREET CORP@03/31/2020@6,599,460@-6,113@-0.093%@$1,232,911
JPMORGAN CHASE & CO@03/31/2020@6,593,497@-258,143@-3.768%@$1,231,797
