Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.34@1.69@5.27@6.02
7 Days Ago@1.34@1.69@5.27@6.02
30 Days Ago@1.47@1.75@5.18@5.92
60 Days Ago@1.47@1.75@5.18@5.92
90 Days Ago@1.48@1.75@5.23@5.95
