ActivePositions@Holders@Shares
Increased Positions@245@3,274,086
Decreased Positions@250@3,055,989
Held Positions@58@29,098,901
Total Institutional Shares@553@35,428,976
New Positions@60@228,950
Sold Out Positions@45@150,984
