Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@12@12@12@12
Avg. Estimate@2.01@2.28@9.41@11.89
Low Estimate@1.73@1.91@8.86@10.49
High Estimate@2.1@2.64@10.04@13.65
Year Ago EPS@2.23@2.61@10.19@9.41
