Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@2.01@2.28@9.41@11.89
7 Days Ago@2.03@2.29@9.45@11.95
30 Days Ago@2.04@2.31@9.52@12.09
60 Days Ago@1.93@2.59@10@13.01
90 Days Ago@2.03@2.7@10.36@13.45
