OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
PRICE T ROWE ASSOCIATES INC /MD/@03/31/2020@4,145,304@-168,873@-3.914%@$2,840,155
VANGUARD GROUP INC@03/31/2020@3,412,011@77,186@2.315%@$2,337,739
BLACKROCK INC.@03/31/2020@2,972,927@-299,478@-9.152%@$2,036,901
BAMCO INC /NY/@03/31/2020@2,099,999@-172,768@-7.602%@$1,438,814
JANUS HENDERSON GROUP PLC@03/31/2020@1,427,479@-268,403@-15.827%@$978,037
