Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@11@11@11@12
Avg. Estimate@389.95M@390.35M@1.58B@1.79B
Low Estimate@389M@366.71M@1.51B@1.64B
High Estimate@390.91M@401.84M@1.62B@1.95B
Year Ago Sales@343.76M@352.81M@1.4B@1.58B
