OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@91,001,575@2,508,955@2.835%@$12,090,469
BLACKROCK INC.@03/31/2020@69,820,163@535,667@0.773%@$9,276,307
STATE STREET CORP@03/31/2020@40,874,487@770,202@1.92%@$5,430,584
JPMORGAN CHASE & CO@03/31/2020@29,950,485@489,810@1.663%@$3,979,221
PRIMECAP MANAGEMENT CO/CA/@03/31/2020@28,284,818@-3,483,824@-10.966%@$3,757,921
