Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@27@27@31@31
Avg. Estimate@2.9B@3.02B@12.36B@13.82B
Low Estimate@2.63B@2.61B@11.36B@11.37B
High Estimate@3.06B@3.68B@13.46B@17.46B
Year Ago Sales@3.67B@3.77B@14.38B@12.36B
