Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@28@28@33@32
Avg. Estimate@0.85@0.93@4.02@4.85
Low Estimate@0.65@0.64@3.44@3.55
High Estimate@1.06@1.39@4.67@7.04
Year Ago EPS@1.36@1.49@5.24@4.02
