|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date|Start Date|End Date|prctChangeOPEN|TargetProbability
2012-01-03|29.6|29.94|29.5|29.75|7226150|USD|0|TXN|FY|992000000.0|1943000000.0|2935000000.0|1545000000.0|1788000000.0|1560000000.0|7828000000.0|4428000000.0|4452000000.0|2900000000.0|7352000000.0|265000000.0|321000000.0|303000000.0|12669000000.0|0.0|20497000000.0|625000000.0|382000000.0|101000000.0|1174000000.0|2391000000.0|3499000000.0|4211000000.0|0.0|607000000.0|0.0|4818000000.0|1228000000.0|9545000000.0|1741000000.0|26278000000.0|-776000000.0|0.0|10952000000.0|20497000000.0|2208000000.0|4593000000.0|3601000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|298000000.0|332000000.0|110000000.0|66000000.0|281000000.0|236000000.0|203000000.0|-68000000.0|4329000000.0|0.0|971000000.0|-153000000.0|-35000000.0|-1190000000.0|301000000.0|-809000000.0|-997000000.0|0.0|0.0|589000000.0|-193000000.0|-959000000.0|-563000000.0|0.0|-589000000.0|992000000.0|1581000000.0|971000000.0|153000000.0|818000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|3420000000.0|1872000000.0|1548000000.0|0.4526315789473685|474000000.0|444000000.0|0.0|4000000.0|918000000.0|2790000000.0|21000000.0|332000000.0|697000000.0|0.203801169591|365000000.0|0.10672514619899999|4000000.0|348000000.0|0.101754385965|50000000.0|298000000.0|0.087134502924|0.26|0.26|1151000000.0|1171000000.0|2011-12-31|2011-12-31|2012-03-31|0.998|0.6056906276085728
2012-01-04|29.54|29.75|29.24|29.57|5837338|USD|1|TXN|FY|992000000.0|1943000000.0|2935000000.0|1545000000.0|1788000000.0|1560000000.0|7828000000.0|4428000000.0|4452000000.0|2900000000.0|7352000000.0|265000000.0|321000000.0|303000000.0|12669000000.0|0.0|20497000000.0|625000000.0|382000000.0|101000000.0|1174000000.0|2391000000.0|3499000000.0|4211000000.0|0.0|607000000.0|0.0|4818000000.0|1228000000.0|9545000000.0|1741000000.0|26278000000.0|-776000000.0|0.0|10952000000.0|20497000000.0|2208000000.0|4593000000.0|3601000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|298000000.0|332000000.0|110000000.0|66000000.0|281000000.0|236000000.0|203000000.0|-68000000.0|4329000000.0|0.0|971000000.0|-153000000.0|-35000000.0|-1190000000.0|301000000.0|-809000000.0|-997000000.0|0.0|0.0|589000000.0|-193000000.0|-959000000.0|-563000000.0|0.0|-589000000.0|992000000.0|1581000000.0|971000000.0|153000000.0|818000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|3420000000.0|1872000000.0|1548000000.0|0.4526315789473685|474000000.0|444000000.0|0.0|4000000.0|918000000.0|2790000000.0|21000000.0|332000000.0|697000000.0|0.203801169591|365000000.0|0.10672514619899999|4000000.0|348000000.0|0.101754385965|50000000.0|298000000.0|0.087134502924|0.26|0.26|1151000000.0|1171000000.0|2011-12-31|2011-12-31|2012-03-31|0.997|0.6194089268374924
2012-01-05|29.44|29.9|29.44|29.78|6568917|USD|2|TXN|FY|992000000.0|1943000000.0|2935000000.0|1545000000.0|1788000000.0|1560000000.0|7828000000.0|4428000000.0|4452000000.0|2900000000.0|7352000000.0|265000000.0|321000000.0|303000000.0|12669000000.0|0.0|20497000000.0|625000000.0|382000000.0|101000000.0|1174000000.0|2391000000.0|3499000000.0|4211000000.0|0.0|607000000.0|0.0|4818000000.0|1228000000.0|9545000000.0|1741000000.0|26278000000.0|-776000000.0|0.0|10952000000.0|20497000000.0|2208000000.0|4593000000.0|3601000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|298000000.0|332000000.0|110000000.0|66000000.0|281000000.0|236000000.0|203000000.0|-68000000.0|4329000000.0|0.0|971000000.0|-153000000.0|-35000000.0|-1190000000.0|301000000.0|-809000000.0|-997000000.0|0.0|0.0|589000000.0|-193000000.0|-959000000.0|-563000000.0|0.0|-589000000.0|992000000.0|1581000000.0|971000000.0|153000000.0|818000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|3420000000.0|1872000000.0|1548000000.0|0.4526315789473685|474000000.0|444000000.0|0.0|4000000.0|918000000.0|2790000000.0|21000000.0|332000000.0|697000000.0|0.203801169591|365000000.0|0.10672514619899999|4000000.0|348000000.0|0.101754385965|50000000.0|298000000.0|0.087134502924|0.26|0.26|1151000000.0|1171000000.0|2011-12-31|2011-12-31|2012-03-31|1.006|0.6366112832197323
2012-01-06|29.61|29.78|29.46|29.78|6052724|USD|3|TXN|FY|992000000.0|1943000000.0|2935000000.0|1545000000.0|1788000000.0|1560000000.0|7828000000.0|4428000000.0|4452000000.0|2900000000.0|7352000000.0|265000000.0|321000000.0|303000000.0|12669000000.0|0.0|20497000000.0|625000000.0|382000000.0|101000000.0|1174000000.0|2391000000.0|3499000000.0|4211000000.0|0.0|607000000.0|0.0|4818000000.0|1228000000.0|9545000000.0|1741000000.0|26278000000.0|-776000000.0|0.0|10952000000.0|20497000000.0|2208000000.0|4593000000.0|3601000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|298000000.0|332000000.0|110000000.0|66000000.0|281000000.0|236000000.0|203000000.0|-68000000.0|4329000000.0|0.0|971000000.0|-153000000.0|-35000000.0|-1190000000.0|301000000.0|-809000000.0|-997000000.0|0.0|0.0|589000000.0|-193000000.0|-959000000.0|-563000000.0|0.0|-589000000.0|992000000.0|1581000000.0|971000000.0|153000000.0|818000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|3420000000.0|1872000000.0|1548000000.0|0.4526315789473685|474000000.0|444000000.0|0.0|4000000.0|918000000.0|2790000000.0|21000000.0|332000000.0|697000000.0|0.203801169591|365000000.0|0.10672514619899999|4000000.0|348000000.0|0.101754385965|50000000.0|298000000.0|0.087134502924|0.26|0.26|1151000000.0|1171000000.0|2011-12-31|2011-12-31|2012-03-31|1.004|0.6173238853411234
2012-01-09|29.72|30.27|29.7|30.16|8040636|USD|4|TXN|FY|992000000.0|1943000000.0|2935000000.0|1545000000.0|1788000000.0|1560000000.0|7828000000.0|4428000000.0|4452000000.0|2900000000.0|7352000000.0|265000000.0|321000000.0|303000000.0|12669000000.0|0.0|20497000000.0|625000000.0|382000000.0|101000000.0|1174000000.0|2391000000.0|3499000000.0|4211000000.0|0.0|607000000.0|0.0|4818000000.0|1228000000.0|9545000000.0|1741000000.0|26278000000.0|-776000000.0|0.0|10952000000.0|20497000000.0|2208000000.0|4593000000.0|3601000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|298000000.0|332000000.0|110000000.0|66000000.0|281000000.0|236000000.0|203000000.0|-68000000.0|4329000000.0|0.0|971000000.0|-153000000.0|-35000000.0|-1190000000.0|301000000.0|-809000000.0|-997000000.0|0.0|0.0|589000000.0|-193000000.0|-959000000.0|-563000000.0|0.0|-589000000.0|992000000.0|1581000000.0|971000000.0|153000000.0|818000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|3420000000.0|1872000000.0|1548000000.0|0.4526315789473685|474000000.0|444000000.0|0.0|4000000.0|918000000.0|2790000000.0|21000000.0|332000000.0|697000000.0|0.203801169591|365000000.0|0.10672514619899999|4000000.0|348000000.0|0.101754385965|50000000.0|298000000.0|0.087134502924|0.26|0.26|1151000000.0|1171000000.0|2011-12-31|2011-12-31|2012-03-31|1.018|0.600541285712391
2012-01-10|30.25|30.69|30.06|30.67|10151334|USD|5|TXN|FY|992000000.0|1943000000.0|2935000000.0|1545000000.0|1788000000.0|1560000000.0|7828000000.0|4428000000.0|4452000000.0|2900000000.0|7352000000.0|265000000.0|321000000.0|303000000.0|12669000000.0|0.0|20497000000.0|625000000.0|382000000.0|101000000.0|1174000000.0|2391000000.0|3499000000.0|4211000000.0|0.0|607000000.0|0.0|4818000000.0|1228000000.0|9545000000.0|1741000000.0|26278000000.0|-776000000.0|0.0|10952000000.0|20497000000.0|2208000000.0|4593000000.0|3601000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|298000000.0|332000000.0|110000000.0|66000000.0|281000000.0|236000000.0|203000000.0|-68000000.0|4329000000.0|0.0|971000000.0|-153000000.0|-35000000.0|-1190000000.0|301000000.0|-809000000.0|-997000000.0|0.0|0.0|589000000.0|-193000000.0|-959000000.0|-563000000.0|0.0|-589000000.0|992000000.0|1581000000.0|971000000.0|153000000.0|818000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|3420000000.0|1872000000.0|1548000000.0|0.4526315789473685|474000000.0|444000000.0|0.0|4000000.0|918000000.0|2790000000.0|21000000.0|332000000.0|697000000.0|0.203801169591|365000000.0|0.10672514619899999|4000000.0|348000000.0|0.101754385965|50000000.0|298000000.0|0.087134502924|0.26|0.26|1151000000.0|1171000000.0|2011-12-31|2011-12-31|2012-03-31|1.009|0.5768017940315947
2012-01-11|30.52|30.78|30.29|30.73|6445932|USD|6|TXN|FY|992000000.0|1943000000.0|2935000000.0|1545000000.0|1788000000.0|1560000000.0|7828000000.0|4428000000.0|4452000000.0|2900000000.0|7352000000.0|265000000.0|321000000.0|303000000.0|12669000000.0|0.0|20497000000.0|625000000.0|382000000.0|101000000.0|1174000000.0|2391000000.0|3499000000.0|4211000000.0|0.0|607000000.0|0.0|4818000000.0|1228000000.0|9545000000.0|1741000000.0|26278000000.0|-776000000.0|0.0|10952000000.0|20497000000.0|2208000000.0|4593000000.0|3601000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|298000000.0|332000000.0|110000000.0|66000000.0|281000000.0|236000000.0|203000000.0|-68000000.0|4329000000.0|0.0|971000000.0|-153000000.0|-35000000.0|-1190000000.0|301000000.0|-809000000.0|-997000000.0|0.0|0.0|589000000.0|-193000000.0|-959000000.0|-563000000.0|0.0|-589000000.0|992000000.0|1581000000.0|971000000.0|153000000.0|818000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|3420000000.0|1872000000.0|1548000000.0|0.4526315789473685|474000000.0|444000000.0|0.0|4000000.0|918000000.0|2790000000.0|21000000.0|332000000.0|697000000.0|0.203801169591|365000000.0|0.10672514619899999|4000000.0|348000000.0|0.101754385965|50000000.0|298000000.0|0.087134502924|0.26|0.26|1151000000.0|1171000000.0|2011-12-31|2011-12-31|2012-03-31|1.009|0.5841098200667022
2012-01-12|30.79|31.44|30.64|31.36|8783233|USD|7|TXN|FY|992000000.0|1943000000.0|2935000000.0|1545000000.0|1788000000.0|1560000000.0|7828000000.0|4428000000.0|4452000000.0|2900000000.0|7352000000.0|265000000.0|321000000.0|303000000.0|12669000000.0|0.0|20497000000.0|625000000.0|382000000.0|101000000.0|1174000000.0|2391000000.0|3499000000.0|4211000000.0|0.0|607000000.0|0.0|4818000000.0|1228000000.0|9545000000.0|1741000000.0|26278000000.0|-776000000.0|0.0|10952000000.0|20497000000.0|2208000000.0|4593000000.0|3601000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|298000000.0|332000000.0|110000000.0|66000000.0|281000000.0|236000000.0|203000000.0|-68000000.0|4329000000.0|0.0|971000000.0|-153000000.0|-35000000.0|-1190000000.0|301000000.0|-809000000.0|-997000000.0|0.0|0.0|589000000.0|-193000000.0|-959000000.0|-563000000.0|0.0|-589000000.0|992000000.0|1581000000.0|971000000.0|153000000.0|818000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|3420000000.0|1872000000.0|1548000000.0|0.4526315789473685|474000000.0|444000000.0|0.0|4000000.0|918000000.0|2790000000.0|21000000.0|332000000.0|697000000.0|0.203801169591|365000000.0|0.10672514619899999|4000000.0|348000000.0|0.101754385965|50000000.0|298000000.0|0.087134502924|0.26|0.26|1151000000.0|1171000000.0|2011-12-31|2011-12-31|2012-03-31|1.01|0.5644646718888859
2012-01-13|31.11|31.36|30.81|30.95|8155848|USD|8|TXN|FY|992000000.0|1943000000.0|2935000000.0|1545000000.0|1788000000.0|1560000000.0|7828000000.0|4428000000.0|4452000000.0|2900000000.0|7352000000.0|265000000.0|321000000.0|303000000.0|12669000000.0|0.0|20497000000.0|625000000.0|382000000.0|101000000.0|1174000000.0|2391000000.0|3499000000.0|4211000000.0|0.0|607000000.0|0.0|4818000000.0|1228000000.0|9545000000.0|1741000000.0|26278000000.0|-776000000.0|0.0|10952000000.0|20497000000.0|2208000000.0|4593000000.0|3601000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|298000000.0|332000000.0|110000000.0|66000000.0|281000000.0|236000000.0|203000000.0|-68000000.0|4329000000.0|0.0|971000000.0|-153000000.0|-35000000.0|-1190000000.0|301000000.0|-809000000.0|-997000000.0|0.0|0.0|589000000.0|-193000000.0|-959000000.0|-563000000.0|0.0|-589000000.0|992000000.0|1581000000.0|971000000.0|153000000.0|818000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|3420000000.0|1872000000.0|1548000000.0|0.4526315789473685|474000000.0|444000000.0|0.0|4000000.0|918000000.0|2790000000.0|21000000.0|332000000.0|697000000.0|0.203801169591|365000000.0|0.10672514619899999|4000000.0|348000000.0|0.101754385965|50000000.0|298000000.0|0.087134502924|0.26|0.26|1151000000.0|1171000000.0|2011-12-31|2011-12-31|2012-03-31|1.007|0.5596353070186447
2012-01-17|31.34|31.38|31.0|31.07|5755348|USD|9|TXN|FY|992000000.0|1943000000.0|2935000000.0|1545000000.0|1788000000.0|1560000000.0|7828000000.0|4428000000.0|4452000000.0|2900000000.0|7352000000.0|265000000.0|321000000.0|303000000.0|12669000000.0|0.0|20497000000.0|625000000.0|382000000.0|101000000.0|1174000000.0|2391000000.0|3499000000.0|4211000000.0|0.0|607000000.0|0.0|4818000000.0|1228000000.0|9545000000.0|1741000000.0|26278000000.0|-776000000.0|0.0|10952000000.0|20497000000.0|2208000000.0|4593000000.0|3601000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|298000000.0|332000000.0|110000000.0|66000000.0|281000000.0|236000000.0|203000000.0|-68000000.0|4329000000.0|0.0|971000000.0|-153000000.0|-35000000.0|-1190000000.0|301000000.0|-809000000.0|-997000000.0|0.0|0.0|589000000.0|-193000000.0|-959000000.0|-563000000.0|0.0|-589000000.0|992000000.0|1581000000.0|971000000.0|153000000.0|818000000.0|2011-12-31|2011-12-31|2012-03-31|TXN|FY|3420000000.0|1872000000.0|1548000000.0|0.4526315789473685|474000000.0|444000000.0|0.0|4000000.0|918000000.0|2790000000.0|21000000.0|332000000.0|697000000.0|0.203801169591|365000000.0|0.10672514619899999|4000000.0|348000000.0|0.101754385965|50000000.0|298000000.0|0.087134502924|0.26|0.26|1151000000.0|1171000000.0|2011-12-31|2011-12-31|2012-03-31|1.02|0.5665063533633442
