Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@20@10@23@23
Avg. Estimate@2.4B@2.64B@12.24B@12.11B
Low Estimate@2.31B@2.49B@11.84B@11.58B
High Estimate@2.69B@2.74B@12.33B@12.87B
Year Ago Sales@2.51B@2.67B@11.39B@12.24B
