Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@23@11@23@25
Avg. Estimate@0.53@0.68@2.38@2.19
Low Estimate@0.44@0.59@2.2@1.5
High Estimate@0.73@0.81@2.6@2.6
Year Ago EPS@0.62@0.83@2.63@2.38
