Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.56@0.63@2.54@2.75
7 Days Ago@0.56@0.63@2.54@2.74
30 Days Ago@0.56@0.63@2.55@2.75
60 Days Ago@0.61@0.66@2.62@2.83
90 Days Ago@0.62@0.68@2.66@2.89
