Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@16@16@19@19
Avg. Estimate@5.89B@6.34B@25.87B@26.62B
Low Estimate@5.62B@6.15B@25.2B@25.63B
High Estimate@6.25B@6.54B@26.48B@27.14B
Year Ago Sales@N/A@6.36B@25.87B@25.87B
