Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@18@18@22@21
Avg. Estimate@0.56@0.63@2.54@2.75
Low Estimate@0.52@0.59@2.44@2.66
High Estimate@0.6@0.67@2.65@2.88
Year Ago EPS@0.57@0.64@2.47@2.54
