Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@24@23@26@26
Avg. Estimate@2.38B@3.7B@12.49B@15.98B
Low Estimate@1.25B@3.29B@11.4B@14.26B
High Estimate@3.19B@4.04B@13.64B@17.8B
Year Ago Sales@3.98B@3.85B@16.04B@12.49B
