Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@-0.32@0.85@0.92@4.3
7 Days Ago@-0.32@0.85@0.92@4.3
30 Days Ago@0.43@0.95@2.71@4.43
60 Days Ago@0.86@1.04@3.6@4.77
90 Days Ago@1.23@1.1@4.91@5.39
