Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@27@26@26@27
Avg. Estimate@-0.32@0.85@0.92@4.3
Low Estimate@-0.95@0.43@-0.1@3.15
High Estimate@0.12@1.09@1.53@5.1
Year Ago EPS@1.14@1.03@4.6@0.92
