OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@34,155,120@703,244@2.102%@$2,522,356
BLACKROCK INC.@03/31/2020@23,541,108@24,796@0.105%@$1,738,511
STATE STREET CORP@03/31/2020@14,713,553@291,850@2.024%@$1,086,596
BANK OF NEW YORK MELLON CORP@03/31/2020@14,502,855@-63,736@-0.438%@$1,071,036
LOOMIS SAYLES & CO L P@03/31/2020@12,992,804@-709,915@-5.181%@$959,519
