Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.61@0.7@2.84@3.32
7 Days Ago@0.61@0.7@2.84@3.31
30 Days Ago@0.61@0.7@2.84@3.32
60 Days Ago@0.76@0.79@3.13@3.51
90 Days Ago@0.77@0.79@3.15@3.55
