Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@21@23@22
Avg. Estimate@0.61@0.7@2.84@3.32
Low Estimate@0.6@0.67@2.78@3.12
High Estimate@0.63@0.74@2.9@3.47
Year Ago EPS@0.66@0.66@2.68@2.84
