Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@18@18@21@21
Avg. Estimate@1.36B@1.39B@5.61B@5.94B
Low Estimate@1.33B@1.36B@5.53B@5.75B
High Estimate@1.37B@1.43B@5.78B@6.15B
Year Ago Sales@1.43B@1.43B@5.69B@5.61B
