@Date@SMA_value
0@2020-06-12@56.7107
1@2020-06-05@56.8028
2@2020-05-29@56.8345
3@2020-05-22@56.8527
4@2020-05-15@56.8843
5@2020-05-08@56.8961
6@2020-05-01@56.9753
7@2020-04-24@57.0094
8@2020-04-17@57.0682
9@2020-04-09@57.1837
10@2020-04-03@57.2751
11@2020-03-27@57.3503
12@2020-03-20@57.4883
13@2020-03-13@57.6225
14@2020-03-06@57.7081
15@2020-02-28@57.7945
16@2020-02-21@57.8767
17@2020-02-14@57.9531
18@2020-02-07@58.1313
19@2020-01-31@58.2815
20@2020-01-24@58.4264
21@2020-01-17@58.5161
22@2020-01-10@58.5965
23@2020-01-03@58.7172
24@2019-12-27@58.8487
25@2019-12-20@58.9572
26@2019-12-13@59.0741
27@2019-12-06@59.1878
28@2019-11-29@59.2739
29@2019-11-22@59.3840
30@2019-11-15@59.5205
31@2019-11-08@59.6034
32@2019-11-01@59.6717
33@2019-10-25@59.7736
34@2019-10-18@59.8604
35@2019-10-11@59.9441
36@2019-10-04@60.0276
37@2019-09-27@60.1449
38@2019-09-20@60.2272
39@2019-09-13@60.2866
40@2019-09-06@60.3491
41@2019-08-30@60.4885
42@2019-08-23@60.6458
43@2019-08-16@60.8203
44@2019-08-09@60.9984
45@2019-08-02@61.1681
46@2019-07-26@61.3190
47@2019-07-19@61.4857
48@2019-07-12@61.6281
49@2019-07-05@61.7715
50@2019-06-28@61.9082
51@2019-06-21@62.0613
52@2019-06-14@62.2125
53@2019-06-07@62.3376
54@2019-05-31@62.4821
55@2019-05-24@62.6513
56@2019-05-17@62.7864
57@2019-05-10@62.9097
58@2019-05-03@63.0470
59@2019-04-26@63.1475
60@2019-04-18@63.2571
61@2019-04-12@63.3445
62@2019-04-05@63.4103
63@2019-03-29@63.4716
64@2019-03-22@63.5091
65@2019-03-15@63.5454
66@2019-03-08@63.6181
67@2019-03-01@63.6861
68@2019-02-22@63.7553
69@2019-02-15@63.8024
70@2019-02-08@63.8574
71@2019-02-01@63.8617
72@2019-01-25@63.8450
73@2019-01-18@63.8174
74@2019-01-11@63.8171
75@2019-01-04@63.7451
76@2018-12-28@63.6704
77@2018-12-21@63.6065
78@2018-12-14@63.5200
79@2018-12-07@63.4286
80@2018-11-30@63.2830
81@2018-11-23@63.1416
82@2018-11-16@62.9968
83@2018-11-09@62.8145
84@2018-11-02@62.4946
85@2018-10-26@62.1649
86@2018-10-19@61.8497
87@2018-10-12@61.4864
88@2018-10-05@61.1214
89@2018-09-28@60.7138
90@2018-09-21@60.3658
91@2018-09-14@59.9872
92@2018-09-07@59.6880
93@2018-08-31@59.4097
94@2018-08-24@59.1032
95@2018-08-17@58.8569
96@2018-08-10@58.5703
97@2018-08-03@58.2887
98@2018-07-27@57.9461
99@2018-07-20@57.5510
100@2018-07-13@57.1510
101@2018-07-06@56.7813
102@2018-06-29@56.4316
103@2018-06-22@56.0993
104@2018-06-15@55.7531
105@2018-06-08@55.4250
106@2018-06-01@55.0865
107@2018-05-25@54.7445
108@2018-05-18@54.4051
109@2018-05-11@54.0617
110@2018-05-04@53.7355
111@2018-04-27@53.4723
112@2018-04-20@53.1826
113@2018-04-13@52.9018
114@2018-04-06@52.6281
115@2018-03-29@52.3071
116@2018-03-23@51.9589
117@2018-03-16@51.5945
118@2018-03-09@51.1451
119@2018-03-02@50.7527
120@2018-02-23@50.3469
121@2018-02-16@49.9695
122@2018-02-09@49.6144
123@2018-02-02@49.2190
124@2018-01-26@48.8113
125@2018-01-19@48.4119
126@2018-01-12@47.9883
127@2018-01-05@47.6203
128@2017-12-29@47.3309
129@2017-12-22@47.0461
130@2017-12-15@46.7305
131@2017-12-08@46.4681
132@2017-12-01@46.2247
133@2017-11-24@45.9505
134@2017-11-17@45.6998
135@2017-11-10@45.4453
136@2017-11-03@45.2004
137@2017-10-27@44.9316
138@2017-10-20@44.6778
139@2017-10-13@44.4115
140@2017-10-06@44.1495
141@2017-09-29@43.8478
142@2017-09-22@43.5607
143@2017-09-15@43.2501
144@2017-09-08@42.9135
145@2017-09-01@42.5833
146@2017-08-25@42.2746
147@2017-08-18@41.9657
148@2017-08-11@41.6422
149@2017-08-04@41.3071
150@2017-07-28@40.9850
151@2017-07-21@40.6256
152@2017-07-14@40.3042
153@2017-07-07@40.0102
154@2017-06-30@39.6913
155@2017-06-23@39.3449
156@2017-06-16@39.0114
157@2017-06-09@38.6962
158@2017-06-02@38.3427
159@2017-05-26@38.0050
160@2017-05-19@37.6946
161@2017-05-12@37.3871
162@2017-05-05@37.1067
163@2017-04-28@36.8348
164@2017-04-21@36.5837
165@2017-04-13@36.3517
166@2017-04-07@36.1067
167@2017-03-31@35.8392
168@2017-03-24@35.5916
169@2017-03-17@35.3288
170@2017-03-10@35.0643
171@2017-03-03@34.8221
172@2017-02-24@34.5971
173@2017-02-17@34.3769
174@2017-02-10@34.1467
175@2017-02-03@33.9769
176@2017-01-27@33.8144
177@2017-01-20@33.6582
178@2017-01-13@33.4992
179@2017-01-06@33.3384
180@2016-12-30@33.1830
181@2016-12-23@33.0240
182@2016-12-16@32.8641
183@2016-12-09@32.6872
184@2016-12-02@32.5285
185@2016-11-25@32.3586
186@2016-11-18@32.1764
187@2016-11-11@31.9853
188@2016-11-04@31.7770
