@Date@TEMA_value
0@2020-06-12@59.8067
1@2020-06-05@59.2534
2@2020-05-29@58.4527
3@2020-05-22@57.5473
4@2020-05-15@56.5751
5@2020-05-08@55.6118
6@2020-05-01@55.0779
7@2020-04-24@54.3975
8@2020-04-17@53.7370
9@2020-04-09@53.4324
10@2020-04-03@53.0668
11@2020-03-27@52.8564
12@2020-03-20@52.9738
13@2020-03-13@53.0784
14@2020-03-06@52.9767
15@2020-02-28@52.7774
16@2020-02-21@52.3860
17@2020-02-14@51.8493
18@2020-02-07@51.4097
19@2020-01-31@51.1221
20@2020-01-24@50.8515
21@2020-01-17@50.4011
22@2020-01-10@50.0479
23@2020-01-03@49.7216
24@2019-12-27@49.3306
25@2019-12-20@48.9104
26@2019-12-13@48.4977
27@2019-12-06@48.3195
28@2019-11-29@48.1479
29@2019-11-22@48.0748
30@2019-11-15@47.9889
31@2019-11-08@47.8765
32@2019-11-01@47.6583
33@2019-10-25@47.4078
34@2019-10-18@47.1946
35@2019-10-11@47.0299
36@2019-10-04@46.8184
37@2019-09-27@46.7501
38@2019-09-20@46.5687
39@2019-09-13@46.3397
40@2019-09-06@46.1003
41@2019-08-30@46.1434
42@2019-08-23@46.3422
43@2019-08-16@46.5790
44@2019-08-09@46.8175
45@2019-08-02@47.0602
46@2019-07-26@47.3079
47@2019-07-19@47.7304
48@2019-07-12@48.0560
49@2019-07-05@48.3648
50@2019-06-28@48.6841
51@2019-06-21@49.1547
52@2019-06-14@49.6433
53@2019-06-07@50.1500
54@2019-05-31@50.8280
55@2019-05-24@51.5090
56@2019-05-17@52.1051
57@2019-05-10@52.7830
58@2019-05-03@53.4112
59@2019-04-26@53.9210
60@2019-04-18@54.6461
61@2019-04-12@55.2787
62@2019-04-05@55.9404
63@2019-03-29@56.6740
64@2019-03-22@57.4228
65@2019-03-15@58.3127
66@2019-03-08@59.4025
67@2019-03-01@60.4861
68@2019-02-22@61.6883
69@2019-02-15@62.7791
70@2019-02-08@63.9525
71@2019-02-01@65.0193
72@2019-01-25@66.0864
73@2019-01-18@67.1238
74@2019-01-11@68.3282
75@2019-01-04@69.5077
76@2018-12-28@70.7441
77@2018-12-21@72.1296
78@2018-12-14@73.4310
79@2018-12-07@74.8033
80@2018-11-30@75.9980
81@2018-11-23@77.2548
82@2018-11-16@78.5498
83@2018-11-09@79.6374
84@2018-11-02@79.9749
85@2018-10-26@80.1776
86@2018-10-19@80.3963
