@Date@WMA_value
0@2020-06-12@56.1797
1@2020-06-05@55.9482
2@2020-05-29@55.6442
3@2020-05-22@55.3171
4@2020-05-15@54.9809
5@2020-05-08@54.6608
6@2020-05-01@54.4954
7@2020-04-24@54.2897
8@2020-04-17@54.1006
9@2020-04-09@54.0385
10@2020-04-03@53.9622
11@2020-03-27@53.9426
12@2020-03-20@54.0353
13@2020-03-13@54.1247
14@2020-03-06@54.1466
15@2020-02-28@54.1395
16@2020-02-21@54.0735
17@2020-02-14@53.9664
18@2020-02-07@53.9013
19@2020-01-31@53.8942
20@2020-01-24@53.8988
21@2020-01-17@53.8497
22@2020-01-10@53.8393
23@2020-01-03@53.8442
24@2019-12-27@53.8343
25@2019-12-20@53.8215
26@2019-12-13@53.8184
27@2019-12-06@53.8990
28@2019-11-29@53.9850
29@2019-11-22@54.1069
30@2019-11-15@54.2275
31@2019-11-08@54.3414
32@2019-11-01@54.4228
33@2019-10-25@54.4978
34@2019-10-18@54.5890
35@2019-10-11@54.6998
36@2019-10-04@54.7982
37@2019-09-27@54.9476
38@2019-09-20@55.0616
39@2019-09-13@55.1627
40@2019-09-06@55.2637
41@2019-08-30@55.4619
42@2019-08-23@55.7125
43@2019-08-16@55.9753
44@2019-08-09@56.2380
45@2019-08-02@56.5013
46@2019-07-26@56.7651
47@2019-07-19@57.0850
48@2019-07-12@57.3695
49@2019-07-05@57.6462
50@2019-06-28@57.9240
51@2019-06-21@58.2491
52@2019-06-14@58.5761
53@2019-06-07@58.9042
54@2019-05-31@59.2836
55@2019-05-24@59.6577
56@2019-05-17@59.9971
57@2019-05-10@60.3570
58@2019-05-03@60.6940
59@2019-04-26@60.9855
60@2019-04-18@61.3422
61@2019-04-12@61.6605
62@2019-04-05@61.9809
63@2019-03-29@62.3170
64@2019-03-22@62.6489
65@2019-03-15@63.0175
66@2019-03-08@63.4410
67@2019-03-01@63.8495
68@2019-02-22@64.2838
69@2019-02-15@64.6670
70@2019-02-08@65.0642
71@2019-02-01@65.4116
72@2019-01-25@65.7451
73@2019-01-18@66.0550
74@2019-01-11@66.4064
75@2019-01-04@66.7332
76@2018-12-28@67.0626
77@2018-12-21@67.4241
78@2018-12-14@67.7393
79@2018-12-07@68.0601
80@2018-11-30@68.3033
81@2018-11-23@68.5499
82@2018-11-16@68.7912
83@2018-11-09@68.9460
84@2018-11-02@68.8369
85@2018-10-26@68.6750
86@2018-10-19@68.5117
87@2018-10-12@68.2334
88@2018-10-05@67.8790
89@2018-09-28@67.4143
90@2018-09-21@67.0314
91@2018-09-14@66.6056
92@2018-09-07@66.3246
93@2018-08-31@66.0727
94@2018-08-24@65.7605
95@2018-08-17@65.5555
96@2018-08-10@65.3171
97@2018-08-03@65.0622
98@2018-07-27@64.7172
99@2018-07-20@64.2825
100@2018-07-13@63.7982
101@2018-07-06@63.3840
102@2018-06-29@63.0092
103@2018-06-22@62.6311
104@2018-06-15@62.2100
105@2018-06-08@61.8372
106@2018-06-01@61.4775
107@2018-05-25@61.1596
108@2018-05-18@60.8013
109@2018-05-11@60.4487
110@2018-05-04@60.1212
111@2018-04-27@59.8759
112@2018-04-20@59.6103
113@2018-04-13@59.3404
114@2018-04-06@59.0922
115@2018-03-29@58.8052
116@2018-03-23@58.4593
117@2018-03-16@58.0750
118@2018-03-09@57.5187
119@2018-03-02@57.0651
120@2018-02-23@56.6228
121@2018-02-16@56.2268
122@2018-02-09@55.8793
123@2018-02-02@55.4571
124@2018-01-26@54.9881
125@2018-01-19@54.5517
126@2018-01-12@54.0976
127@2018-01-05@53.7239
128@2017-12-29@53.4029
129@2017-12-22@53.0625
130@2017-12-15@52.6595
131@2017-12-08@52.3492
132@2017-12-01@52.0291
133@2017-11-24@51.6285
134@2017-11-17@51.2675
135@2017-11-10@50.9254
136@2017-11-03@50.5648
137@2017-10-27@50.1807
138@2017-10-20@49.8238
139@2017-10-13@49.4930
140@2017-10-06@49.1494
141@2017-09-29@48.7420
142@2017-09-22@48.3428
143@2017-09-15@47.9121
144@2017-09-08@47.4641
145@2017-09-01@47.0234
146@2017-08-25@46.6112
147@2017-08-18@46.2145
148@2017-08-11@45.8212
149@2017-08-04@45.4087
150@2017-07-28@45.0015
151@2017-07-21@44.5990
152@2017-07-14@44.1928
153@2017-07-07@43.8310
154@2017-06-30@43.4730
155@2017-06-23@43.0505
