@Date@DEMA_value
0@2020-06-12@60.6463
1@2020-06-05@60.2685
2@2020-05-29@59.7291
3@2020-05-22@59.1251
4@2020-05-15@58.4824
5@2020-05-08@57.8521
6@2020-05-01@57.5146
7@2020-04-24@57.0830
8@2020-04-17@56.6695
9@2020-04-09@56.4978
10@2020-04-03@56.2877
11@2020-03-27@56.1838
12@2020-03-20@56.3002
13@2020-03-13@56.4076
14@2020-03-06@56.3770
15@2020-02-28@56.2823
16@2020-02-21@56.0612
17@2020-02-14@55.7463
18@2020-02-07@55.5000
19@2020-01-31@55.3585
20@2020-01-24@55.2306
21@2020-01-17@54.9852
22@2020-01-10@54.8083
23@2020-01-03@54.6521
24@2019-12-27@54.4555
25@2019-12-20@54.2428
26@2019-12-13@54.0386
27@2019-12-06@53.9942
28@2019-11-29@53.9562
29@2019-11-22@53.9857
30@2019-11-15@54.0080
31@2019-11-08@54.0140
32@2019-11-01@53.9510
33@2019-10-25@53.8688
34@2019-10-18@53.8140
35@2019-10-11@53.7940
36@2019-10-04@53.7446
37@2019-09-27@53.7932
38@2019-09-20@53.7677
39@2019-09-13@53.7127
40@2019-09-06@53.6533
41@2019-08-30@53.7848
42@2019-08-23@54.0210
43@2019-08-16@54.2821
44@2019-08-09@54.5439
45@2019-08-02@54.8079
46@2019-07-26@55.0746
47@2019-07-19@55.4571
48@2019-07-12@55.7732
49@2019-07-05@56.0769
50@2019-06-28@56.3863
51@2019-06-21@56.7955
52@2019-06-14@57.2143
53@2019-06-07@57.6427
54@2019-05-31@58.1827
55@2019-05-24@58.7210
56@2019-05-17@59.1987
57@2019-05-10@59.7276
58@2019-05-03@60.2194
59@2019-04-26@60.6285
60@2019-04-18@61.1782
61@2019-04-12@61.6618
62@2019-04-05@62.1610
63@2019-03-29@62.7038
64@2019-03-22@63.2522
65@2019-03-15@63.8897
66@2019-03-08@64.6546
67@2019-03-01@65.4080
68@2019-02-22@66.2331
69@2019-02-15@66.9757
70@2019-02-08@67.7657
71@2019-02-01@68.4763
72@2019-01-25@69.1793
73@2019-01-18@69.8548
74@2019-01-11@70.6338
75@2019-01-04@71.3873
76@2018-12-28@72.1698
77@2018-12-21@73.0423
78@2018-12-14@73.8482
79@2018-12-07@74.6911
80@2018-11-30@75.4050
81@2018-11-23@76.1505
82@2018-11-16@76.9113
83@2018-11-09@77.5231
84@2018-11-02@77.6255
85@2018-10-26@77.6336
86@2018-10-19@77.6487
87@2018-10-12@77.4415
88@2018-10-05@77.0846
89@2018-09-28@76.5053
90@2018-09-21@76.0866
91@2018-09-14@75.5799
92@2018-09-07@75.3625
93@2018-08-31@75.2062
94@2018-08-24@74.9316
95@2018-08-17@74.8745
96@2018-08-10@74.7562
97@2018-08-03@74.6091
98@2018-07-27@74.2845
99@2018-07-20@73.7803
100@2018-07-13@73.1725
101@2018-07-06@72.7014
102@2018-06-29@72.3076
103@2018-06-22@71.9058
104@2018-06-15@71.4151
105@2018-06-08@71.0186
106@2018-06-01@70.6475
107@2018-05-25@70.3614
108@2018-05-18@69.9951
109@2018-05-11@69.6404
110@2018-05-04@69.3367
111@2018-04-27@69.1992
112@2018-04-20@69.0248
113@2018-04-13@68.8451
114@2018-04-06@68.7125
115@2018-03-29@68.5068
116@2018-03-23@68.1858
117@2018-03-16@67.7887
118@2018-03-09@67.0437
119@2018-03-02@66.4988
120@2018-02-23@65.9742
