@Date@EMA_value
0@2020-06-12@57.6301
1@2020-06-05@57.4108
2@2020-05-29@57.1122
3@2020-05-22@56.7837
4@2020-05-15@56.4388
5@2020-05-08@56.1030
6@2020-05-01@55.9166
7@2020-04-24@55.6846
8@2020-04-17@55.4637
9@2020-04-09@55.3657
10@2020-04-03@55.2492
11@2020-03-27@55.1868
12@2020-03-20@55.2349
13@2020-03-13@55.2778
14@2020-03-06@55.2511
15@2020-02-28@55.1924
16@2020-02-21@55.0709
17@2020-02-14@54.9034
18@2020-02-07@54.7718
19@2020-01-31@54.6936
20@2020-01-24@54.6230
21@2020-01-17@54.4942
22@2020-01-10@54.4007
23@2020-01-03@54.3185
24@2019-12-27@54.2169
25@2019-12-20@54.1081
26@2019-12-13@54.0046
27@2019-12-06@53.9821
28@2019-11-29@53.9629
29@2019-11-22@53.9778
30@2019-11-15@53.9888
31@2019-11-08@53.9916
32@2019-11-01@53.9599
33@2019-10-25@53.9189
34@2019-10-18@53.8920
35@2019-10-11@53.8828
36@2019-10-04@53.8590
37@2019-09-27@53.8844
38@2019-09-20@53.8726
39@2019-09-13@53.8462
40@2019-09-06@53.8178
41@2019-08-30@53.8853
42@2019-08-23@54.0044
43@2019-08-16@54.1348
44@2019-08-09@54.2641
45@2019-08-02@54.3933
46@2019-07-26@54.5225
47@2019-07-19@54.7082
48@2019-07-12@54.8587
49@2019-07-05@55.0013
50@2019-06-28@55.1451
51@2019-06-21@55.3371
52@2019-06-14@55.5318
53@2019-06-07@55.7290
54@2019-05-31@55.9797
55@2019-05-24@56.2266
56@2019-05-17@56.4403
57@2019-05-10@56.6768
58@2019-05-03@56.8919
59@2019-04-26@57.0629
60@2019-04-18@57.3017
61@2019-04-12@57.5044
62@2019-04-05@57.7119
63@2019-03-29@57.9384
64@2019-03-22@58.1645
65@2019-03-15@58.4318
66@2019-03-08@58.7591
67@2019-03-01@59.0763
68@2019-02-22@59.4249
69@2019-02-15@59.7274
70@2019-02-08@60.0492
71@2019-02-01@60.3265
72@2019-01-25@60.5958
73@2019-01-18@60.8468
74@2019-01-11@61.1453
75@2019-01-04@61.4262
76@2018-12-28@61.7169
77@2018-12-21@62.0475
78@2018-12-14@62.3394
79@2018-12-07@62.6446
80@2018-11-30@62.8799
81@2018-11-23@63.1261
82@2018-11-16@63.3749
83@2018-11-09@63.5441
84@2018-11-02@63.4541
85@2018-10-26@63.3150
86@2018-10-19@63.1779
87@2018-10-12@62.9282
88@2018-10-05@62.6031
89@2018-09-28@62.1672
90@2018-09-21@61.8130
91@2018-09-14@61.4155
