Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@16@16@17@17
Avg. Estimate@1.23@1.2@5.63@6.15
Low Estimate@1.19@1.09@5.49@5.59
High Estimate@1.39@1.41@6.28@6.87
Year Ago EPS@1.21@1.52@5.69@5.63
