OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@14,554,242@21,129@0.145%@$2,035,993
BLACKROCK INC.@03/31/2020@14,282,570@-1,268,218@-8.155%@$1,997,989
STATE STREET CORP@03/31/2020@5,731,493@-123,577@-2.111%@$801,779
ELLIOTT ASSOCIATES, L.P.@12/31/2019@5,201,928@-889,072@-14.596%@$727,698
CLEARBRIDGE INVESTMENTS, LLC@03/31/2020@4,238,336@-207,775@-4.673%@$592,901
