@Date@ADX_value
0@2020-06-12@8.6170
1@2020-06-05@8.6254
2@2020-05-29@8.6430
3@2020-05-22@8.6623
4@2020-05-15@8.6926
5@2020-05-08@8.7238
6@2020-05-01@8.7625
7@2020-04-24@8.8159
8@2020-04-17@8.8988
9@2020-04-09@8.9826
10@2020-04-03@9.0510
11@2020-03-27@9.0990
12@2020-03-20@9.1466
13@2020-03-13@9.2060
14@2020-03-06@9.2959
15@2020-02-28@9.3255
16@2020-02-21@9.3502
17@2020-02-14@9.2641
18@2020-02-07@9.1775
19@2020-01-31@9.1077
20@2020-01-24@9.0441
21@2020-01-17@8.9547
22@2020-01-10@8.8726
23@2020-01-03@8.8088
24@2019-12-27@8.7711
25@2019-12-20@8.7261
26@2019-12-13@8.6779
27@2019-12-06@8.6323
28@2019-11-29@8.5928
29@2019-11-22@8.5639
30@2019-11-15@8.5347
31@2019-11-08@8.5036
32@2019-11-01@8.4770
33@2019-10-25@8.4604
34@2019-10-18@8.4576
35@2019-10-11@8.4567
36@2019-10-04@8.4717
37@2019-09-27@8.4868
38@2019-09-20@8.4776
39@2019-09-13@8.4643
40@2019-09-06@8.4517
41@2019-08-30@8.4516
42@2019-08-23@8.4577
43@2019-08-16@8.4638
44@2019-08-09@8.4642
45@2019-08-02@8.4647
46@2019-07-26@8.4402
47@2019-07-19@8.4156
48@2019-07-12@8.4397
49@2019-07-05@8.4666
50@2019-06-28@8.5025
51@2019-06-21@8.5439
52@2019-06-14@8.5784
53@2019-06-07@8.6238
54@2019-05-31@8.6842
55@2019-05-24@8.7053
56@2019-05-17@8.7103
57@2019-05-10@8.7153
58@2019-05-03@8.7066
59@2019-04-26@8.6913
60@2019-04-18@8.6326
61@2019-04-12@8.5881
62@2019-04-05@8.5537
63@2019-03-29@8.5200
64@2019-03-22@8.4911
65@2019-03-15@8.4515
66@2019-03-08@8.4248
67@2019-03-01@8.4122
68@2019-02-22@8.4120
69@2019-02-15@8.4210
70@2019-02-08@8.4290
71@2019-02-01@8.4370
72@2019-01-25@8.4545
73@2019-01-18@8.4871
74@2019-01-11@8.5201
75@2019-01-04@8.5655
76@2018-12-28@8.6179
77@2018-12-21@8.6786
78@2018-12-14@8.7381
79@2018-12-07@8.7707
80@2018-11-30@8.8002
81@2018-11-23@8.8422
82@2018-11-16@8.9054
83@2018-11-09@8.9486
84@2018-11-02@8.9923
85@2018-10-26@9.0369
86@2018-10-19@9.0630
87@2018-10-12@9.0647
88@2018-10-05@9.0664
89@2018-09-28@9.0224
90@2018-09-21@8.9814
91@2018-09-14@8.9494
92@2018-09-07@8.9126
93@2018-08-31@8.8754
94@2018-08-24@8.8004
95@2018-08-17@8.7390
96@2018-08-10@8.6771
97@2018-08-03@8.5981
98@2018-07-27@8.5270
99@2018-07-20@8.4551
100@2018-07-13@8.4146
101@2018-07-06@8.3791
102@2018-06-29@8.3697
103@2018-06-22@8.3604
104@2018-06-15@8.3235
105@2018-06-08@8.3039
106@2018-06-01@8.2865
107@2018-05-25@8.2805
108@2018-05-18@8.2977
109@2018-05-11@8.3151
110@2018-05-04@8.3372
111@2018-04-27@8.3904
112@2018-04-20@8.4413
113@2018-04-13@8.4803
114@2018-04-06@8.5442
115@2018-03-29@8.6123
116@2018-03-23@8.6811
117@2018-03-16@8.7266
118@2018-03-09@8.7053
119@2018-03-02@8.6931
120@2018-02-23@8.6899
121@2018-02-16@8.6600
122@2018-02-09@8.6450
123@2018-02-02@8.6298
124@2018-01-26@8.5325
125@2018-01-19@8.4104
126@2018-01-12@8.3076
127@2018-01-05@8.2133
128@2017-12-29@8.1278
129@2017-12-22@8.0670
130@2017-12-15@7.9938
131@2017-12-08@7.9265
132@2017-12-01@7.8694
133@2017-11-24@7.8005
134@2017-11-17@7.7425
135@2017-11-10@7.6888
136@2017-11-03@7.6296
137@2017-10-27@7.5768
138@2017-10-20@7.5235
139@2017-10-13@7.4979
140@2017-10-06@7.4730
141@2017-09-29@7.4605
142@2017-09-22@7.4593
143@2017-09-15@7.4727
144@2017-09-08@7.4821
145@2017-09-01@7.4924
146@2017-08-25@7.5029
147@2017-08-18@7.5209
148@2017-08-11@7.5358
149@2017-08-04@7.5508
150@2017-07-28@7.5581
151@2017-07-21@7.5623
152@2017-07-14@7.5428
153@2017-07-07@7.5350
154@2017-06-30@7.5479
155@2017-06-23@7.5509
156@2017-06-16@7.5258
157@2017-06-09@7.5047
158@2017-06-02@7.4710
159@2017-05-26@7.4159
160@2017-05-19@7.3622
161@2017-05-12@7.3261
162@2017-05-05@7.2841
163@2017-04-28@7.2435
164@2017-04-21@7.2165
165@2017-04-13@7.2349
166@2017-04-07@7.2649
167@2017-03-31@7.2933
168@2017-03-24@7.3278
169@2017-03-17@7.3591
170@2017-03-10@7.3680
171@2017-03-03@7.3838
172@2017-02-24@7.4037
173@2017-02-17@7.4266
174@2017-02-10@7.4542
175@2017-02-03@7.4884
176@2017-01-27@7.5230
177@2017-01-20@7.5462
178@2017-01-13@7.5918
