@Date@APO_value
0@2020-06-12@-49.7453
1@2020-06-05@-74.4388
2@2020-05-29@-88.0976
3@2020-05-22@-90.0413
4@2020-05-15@-83.7942
5@2020-05-08@-69.5321
6@2020-05-01@-54.2088
7@2020-04-24@-39.4175
8@2020-04-17@-25.1317
9@2020-04-09@-2.4832
10@2020-04-03@19.8581
11@2020-03-27@34.7242
12@2020-03-20@53.2147
13@2020-03-13@70.2249
14@2020-03-06@82.6467
15@2020-02-28@88.1233
16@2020-02-21@88.2209
17@2020-02-14@82.4518
18@2020-02-07@81.8096
19@2020-01-31@79.7751
20@2020-01-24@74.0934
21@2020-01-17@70.3061
22@2020-01-10@65.9106
23@2020-01-03@63.1154
24@2019-12-27@60.4685
25@2019-12-20@58.1396
26@2019-12-13@57.6640
27@2019-12-06@58.7006
28@2019-11-29@59.8066
29@2019-11-22@56.2255
30@2019-11-15@48.7157
31@2019-11-08@45.4744
32@2019-11-01@41.4694
33@2019-10-25@32.7550
34@2019-10-18@32.7010
35@2019-10-11@25.7737
36@2019-10-04@20.4773
37@2019-09-27@13.8547
38@2019-09-20@4.4327
39@2019-09-13@-3.2033
40@2019-09-06@-10.9165
41@2019-08-30@-18.6044
42@2019-08-23@-24.8713
43@2019-08-16@-26.1753
44@2019-08-09@-25.4926
45@2019-08-02@-25.7280
46@2019-07-26@-25.7403
47@2019-07-19@-12.1356
48@2019-07-12@-0.9863
49@2019-07-05@8.9256
50@2019-06-28@19.7601
51@2019-06-21@30.6069
52@2019-06-14@41.4307
53@2019-06-07@52.1315
54@2019-05-31@56.7119
55@2019-05-24@61.5511
56@2019-05-17@62.4085
57@2019-05-10@62.7986
58@2019-05-03@60.9369
59@2019-04-26@54.5543
60@2019-04-18@47.1130
61@2019-04-12@40.5192
62@2019-04-05@29.3375
63@2019-03-29@19.4774
64@2019-03-22@9.2108
65@2019-03-15@-7.4449
66@2019-03-08@-17.4325
67@2019-03-01@-29.3480
68@2019-02-22@-33.1959
69@2019-02-15@-43.2500
70@2019-02-08@-52.2845
71@2019-02-01@-60.8232
72@2019-01-25@-68.2456
73@2019-01-18@-72.0337
74@2019-01-11@-72.8902
75@2019-01-04@-72.8440
76@2018-12-28@-66.5421
77@2018-12-21@-54.0501
78@2018-12-14@-48.7480
79@2018-12-07@-40.9737
80@2018-11-30@-36.8809
81@2018-11-23@-23.2350
82@2018-11-16@-8.7729
83@2018-11-09@2.2736
84@2018-11-02@17.8797
85@2018-10-26@32.3581
86@2018-10-19@44.5388
87@2018-10-12@53.7971
88@2018-10-05@62.8310
89@2018-09-28@65.5443
90@2018-09-21@66.0576
91@2018-09-14@66.4682
92@2018-09-07@64.5789
93@2018-08-31@62.6674
94@2018-08-24@58.1825
95@2018-08-17@51.0467
96@2018-08-10@44.1787
97@2018-08-03@38.2651
98@2018-07-27@24.5293
99@2018-07-20@13.0865
100@2018-07-13@5.4596
101@2018-07-06@-2.1933
102@2018-06-29@-7.7385
103@2018-06-22@-15.0319
104@2018-06-15@-20.6071
105@2018-06-08@-18.7248
106@2018-06-01@-12.2546
107@2018-05-25@-11.4067
108@2018-05-18@-5.3479
109@2018-05-11@-3.9242
