@Date@WILLR_value
0@2020-06-12@-21.3025
1@2020-06-05@-16.4027
2@2020-05-29@-17.5779
3@2020-05-22@-21.2447
4@2020-05-15@-28.5094
5@2020-05-08@-26.4699
6@2020-05-01@-38.5875
7@2020-04-24@-45.9499
8@2020-04-17@-45.5160
9@2020-04-09@-58.6118
10@2020-04-03@-79.2001
11@2020-03-27@-76.0252
12@2020-03-20@-83.6280
13@2020-03-13@-57.2196
14@2020-03-06@-42.4893
15@2020-02-28@-34.6225
16@2020-02-21@-8.5485
17@2020-02-14@-2.0191
18@2020-02-07@-4.1058
19@2020-01-31@-12.9657
20@2020-01-24@-6.5804
21@2020-01-17@-0.2048
22@2020-01-10@-1.3077
23@2020-01-03@-3.0877
24@2019-12-27@-3.1920
25@2019-12-20@-3.3905
26@2019-12-13@-2.8113
27@2019-12-06@-0.8443
28@2019-11-29@-8.3731
29@2019-11-22@-11.2979
30@2019-11-15@-0.0000
31@2019-11-08@-3.9566
32@2019-11-01@-8.3929
33@2019-10-25@-10.2314
34@2019-10-18@-16.4605
35@2019-10-11@-25.4486
36@2019-10-04@-26.9362
37@2019-09-27@-22.2417
38@2019-09-20@-20.9853
39@2019-09-13@-17.7999
40@2019-09-06@-28.3379
41@2019-08-30@-31.7712
42@2019-08-23@-38.4981
43@2019-08-16@-31.6168
44@2019-08-09@-29.0152
45@2019-08-02@-27.0230
46@2019-07-26@-13.7028
47@2019-07-19@-43.7191
48@2019-07-12@-40.0745
49@2019-07-05@-43.4257
50@2019-06-28@-56.6033
51@2019-06-21@-45.3524
52@2019-06-14@-55.6783
53@2019-06-07@-60.4171
54@2019-05-31@-49.9057
55@2019-05-24@-41.4924
56@2019-05-17@-33.5875
57@2019-05-10@-33.8862
58@2019-05-03@-28.1455
59@2019-04-26@-3.7274
60@2019-04-18@-13.2853
61@2019-04-12@-18.2676
62@2019-04-05@-21.2666
63@2019-03-29@-30.4549
64@2019-03-22@-19.7000
65@2019-03-15@-22.4551
66@2019-03-08@-30.9671
67@2019-03-01@-31.2845
68@2019-02-22@-37.4363
69@2019-02-15@-36.7791
70@2019-02-08@-40.4718
71@2019-02-01@-36.9953
72@2019-01-25@-40.6580
73@2019-01-18@-39.4186
74@2019-01-11@-48.5871
75@2019-01-04@-44.7176
76@2018-12-28@-51.0567
77@2018-12-21@-62.6193
78@2018-12-14@-50.0074
79@2018-12-07@-51.0775
80@2018-11-30@-36.7587
81@2018-11-23@-52.0784
82@2018-11-16@-44.4721
83@2018-11-09@-42.7285
84@2018-11-02@-41.9375
85@2018-10-26@-38.5983
86@2018-10-19@-34.6157
87@2018-10-12@-31.1947
88@2018-10-05@-22.5627
