@Date@ADXR_value
0@2020-06-12@8.5360
1@2020-06-05@8.5200
2@2020-05-29@8.5111
3@2020-05-22@8.5160
4@2020-05-15@8.5265
5@2020-05-08@8.5236
6@2020-05-01@8.5332
7@2020-04-24@8.5512
8@2020-04-17@8.5897
9@2020-04-09@8.6401
10@2020-04-03@8.6830
11@2020-03-27@8.7181
12@2020-03-20@8.7685
13@2020-03-13@8.8237
14@2020-03-06@8.8881
15@2020-02-28@8.9349
16@2020-02-21@8.9812
17@2020-02-14@8.9726
18@2020-02-07@8.9521
19@2020-01-31@8.9065
20@2020-01-24@8.8686
21@2020-01-17@8.8223
22@2020-01-10@8.7663
23@2020-01-03@8.7269
24@2019-12-27@8.7004
25@2019-12-20@8.6293
26@2019-12-13@8.5442
27@2019-12-06@8.4699
28@2019-11-29@8.4030
29@2019-11-22@8.3459
30@2019-11-15@8.3009
31@2019-11-08@8.2487
32@2019-11-01@8.2017
33@2019-10-25@8.1649
34@2019-10-18@8.1290
35@2019-10-11@8.0996
36@2019-10-04@8.0802
37@2019-09-27@8.0582
38@2019-09-20@8.0272
39@2019-09-13@7.9939
40@2019-09-06@7.9748
41@2019-08-30@7.9623
42@2019-08-23@7.9591
43@2019-08-16@7.9616
44@2019-08-09@7.9685
45@2019-08-02@7.9734
46@2019-07-26@7.9663
47@2019-07-19@7.9592
48@2019-07-12@7.9803
49@2019-07-05@8.0012
50@2019-06-28@8.0266
51@2019-06-21@8.0510
52@2019-06-14@8.0704
53@2019-06-07@8.0833
54@2019-05-31@8.1096
55@2019-05-24@8.1266
56@2019-05-17@8.1306
57@2019-05-10@8.1206
58@2019-05-03@8.1057
59@2019-04-26@8.0811
60@2019-04-18@8.0243
61@2019-04-12@7.9752
62@2019-04-05@7.9399
63@2019-03-29@7.9020
64@2019-03-22@7.8673
65@2019-03-15@7.8340
66@2019-03-08@7.8299
67@2019-03-01@7.8386
68@2019-02-22@7.8527
69@2019-02-15@7.8744
70@2019-02-08@7.8940
71@2019-02-01@7.9025
72@2019-01-25@7.9191
73@2019-01-18@7.9454
