Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@10@8@10@10
Avg. Estimate@425.64M@528.57M@2.11B@2.28B
Low Estimate@360.64M@494.3M@2.04B@2.12B
High Estimate@479.25M@561.54M@2.16B@2.38B
Year Ago Sales@542.58M@554.42M@2.04B@2.11B
