Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@10@9@10@10
Avg. Estimate@0.38@0.57@2.26@2.59
Low Estimate@0.31@0.51@2.2@2.35
High Estimate@0.52@0.63@2.4@2.77
Year Ago EPS@0.6@0.65@2.25@2.26
