Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.38@0.57@2.26@2.59
7 Days Ago@0.38@0.57@2.26@2.59
30 Days Ago@0.42@0.57@2.38@2.67
60 Days Ago@0.6@0.63@2.61@2.86
90 Days Ago@0.7@0.72@2.76@3.18
