Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@33@33@39@40
Avg. Estimate@4.92B@5B@20.16B@23.63B
Low Estimate@4.85B@4.84B@19.53B@22.2B
High Estimate@5.16B@5.29B@20.86B@25.02B
Year Ago Sales@4.3B@4.38B@17.77B@20.16B
