Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.87@0.85@3.33@4.1
7 Days Ago@0.87@0.85@3.33@4.09
30 Days Ago@0.76@0.81@3.24@3.99
60 Days Ago@0.81@0.84@3.37@4.08
90 Days Ago@0.83@0.86@3.45@4.17
