Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@36@36@37@41
Avg. Estimate@0.87@0.85@3.33@4.1
Low Estimate@0.71@0.67@3@3.69
High Estimate@1.11@1.01@3.8@4.46
Year Ago EPS@0.86@0.61@3.1@3.33
