Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@25@25@28@29
Avg. Estimate@5.77B@6.17B@23.57B@24.99B
Low Estimate@5.62B@5.8B@23.26B@23.96B
High Estimate@6.07B@6.5B@24.29B@26B
Year Ago Sales@5.51B@5.78B@22.6B@23.57B
