Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@5.25@5.82@21.5@23.98
7 Days Ago@5.33@5.81@21.55@23.74
30 Days Ago@5.32@5.82@21.57@23.74
60 Days Ago@5.36@5.87@21.66@23.84
90 Days Ago@5.81@6.42@23@25.38
