OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
CAPITAL WORLD INVESTORS@03/31/2020@38,343,106@-5,256,986@-12.057%@$12,174,703
CAPITAL INTERNATIONAL INVESTORS@03/31/2020@34,403,752@4,864,220@16.467%@$10,923,879
VANGUARD GROUP INC@03/31/2020@33,314,995@765,940@2.353%@$10,578,177
CAPITAL RESEARCH GLOBAL INVESTORS@03/31/2020@29,499,900@2,323,946@8.551%@$9,366,808
BLACKROCK INC.@03/31/2020@25,415,446@457,484@1.833%@$8,069,912
