Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@15@15@17@17
Avg. Estimate@0.66@1.72@5.98@7.65
Low Estimate@0.33@1.25@5.41@6.74
High Estimate@1.06@2.03@6.56@8.14
Year Ago EPS@1.35@1.93@6.57@5.98
