Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@14@14@15@15
Avg. Estimate@673.92M@913.95M@3.49B@4.2B
Low Estimate@616M@794.05M@3.28B@3.94B
High Estimate@736.37M@997M@3.6B@4.46B
Year Ago Sales@N/A@N/A@3.54B@3.49B
